Hicaz	4.667	5.333	16.667	17.333	22.333	31	35.667	37	37.667	38.333	44.333	53
Huseyni	6.667	7.333	13.333	22.333	31	35	37.667	38.333	44.333	53		
Huzzam	5.333	14.333	21	21.667	30.333	31	36.333	45	49	53		
Kurdilihicazkar	5.333	6	13.333	22	31	35.667	36.333	44.333	53			
Nihavend	8.667	13.333	14	22	31	35.667	36.333	44.333	48.333	53		
Rast	9.333	16.667	22	31	40.333	43.667	47.667	53				
Saba	6.667	7.333	8	13.333	18.667	19.333	20	31	35	44.333	53	
Segah	5.333	14.333	22.333	27	31	36.333	45	49	53			
Ussak	6	6.667	12.667	21.333	31	35	39	43.333	53			
Bayati	6.667	8	12.667	21.333	25.333	31	35	39.667	43.333	53		
Tahirbuselik	9.333	13.333	22.333	31	35	36.333	39	43.333	53			
Gulizar	6	6.667	8	12.667	21.333	27.333	31	37.667	39	43.333	53	
