Acem	null	[0.0, 181.13208, 294.33963, 498.11322, 701.88684, 792.4529, 996.22644, 1200.0]
Acemasiran	null	[0.0, 203.77359, 407.54718, 498.11322, 701.88684, 905.6604, 1109.434, 1200.0]
Bestenigar	null	[0.0, 113.20755, 316.98114, 498.11322, 611.3208, 724.5283, 1018.8679, 1200.0]
Beyati	null	[0.0, 181.13208, 294.33963, 498.11322, 701.88684, 792.4529, 996.22644, 1200.0]
Beyatiaraban	null	[0.0, 181.13208, 294.33963, 498.11322, 611.3208, 883.0189, 996.22644, 1200.0]
Buselik	null	[0.0, 203.77359, 294.33963, 498.11322, 701.88684, 792.4529, 996.22644, 1200.0]
Dugah	null	[0.0, 181.13208, 294.33963, 407.54718, 701.88684, 792.4529, 996.22644, 1109.434, 1200.0, 1381.1321]
Evcara	null	[0.0, 113.20755, 384.90567, 498.11322, 701.88684, 815.09436, 1086.7925, 1200.0]
Evic	null	[0.0, 113.20755, 316.98114, 498.11322, 701.88684, 815.09436, 1109.434, 1200.0]
Ferahfeza	null	[0.0, 90.56604, 294.33963, 498.11322, 701.88684, 792.4529, 996.22644, 1200.0]
Ferahnak	null	[0.0, 113.20755, 316.98114, 520.75476, 701.88684, 815.09436, 1018.8679, 1200.0]
Gulizar	null	[0.0, 181.13208, 294.33963, 498.11322, 701.88684, 883.0189, 996.22644, 1200.0]
Hicaz	null	[0.0, 113.20755, 384.90567, 498.11322, 701.88684, 792.4529, 883.0189, 996.22644, 1200.0]
Hicazkar	null	[0.0, 113.20755, 384.90567, 498.11322, 701.88684, 815.09436, 1086.7925, 1200.0]
Huseyni	null	[0.0, 181.13208, 294.33963, 498.11322, 701.88684, 883.0189, 996.22644, 1200.0]
Huzzam	null	[0.0, 113.20755, 316.98114, 430.1887, 701.88684, 815.09436, 1109.434, 1200.0]
Irak	null	[0.0, 113.20755, 316.98114, 498.11322, 611.3208, 815.09436, 1018.8679, 1200.0]
Isfahan	null	[0.0, 181.13208, 294.33963, 498.11322, 701.88684, 792.4529, 996.22644, 1200.0]
Karcigar	null	[0.0, 181.13208, 294.33963, 498.11322, 611.3208, 883.0189, 996.22644, 1200.0]
Kurdi	null	[0.0, 90.56604, 294.33963, 498.11322, 701.88684, 792.4529, 996.22644, 1200.0]
Kurdilihicazkar	null	[0.0, 90.56604, 294.33963, 498.11322, 701.88684, 792.4529, 996.22644, 1200.0]
Mahur	null	[0.0, 203.77359, 407.54718, 498.11322, 701.88684, 905.6604, 1109.434, 1200.0]
Muhayyer	null	[0.0, 181.13208, 294.33963, 498.11322, 701.88684, 883.0189, 996.22644, 1200.0]
Mustear	null	[0.0, 203.77359, 316.98114, 498.11322, 701.88684, 815.09436, 1109.434, 1200.0]
Neva	null	[0.0, 181.13208, 294.33963, 498.11322, 701.88684, 883.0189, 996.22644, 1200.0]
Neveser	null	[0.0, 113.20755, 384.90567, 498.11322, 611.3208, 883.0189, 996.22644, 1200.0]
Nihavend	null	[0.0, 203.77359, 294.33963, 498.11322, 701.88684, 792.4529, 996.22644, 1200.0]
Nikriz	null	[0.0, 203.77359, 316.98114, 588.67926, 701.88684, 905.6604, 996.22644, 1086.7925, 1200.0]
Nisaburek	null	[0.0, 203.77359, 384.90567, 498.11322, 701.88684, 905.6604, 996.22644, 1200.0]
Nuhuft	null	[0.0, 181.13208, 294.33963, 498.11322, 679.2453, 792.4529, 996.22644, 1200.0]
Pencgah	null	[0.0, 203.77359, 384.90567, 498.11322, 701.88684, 905.6604, 1086.7925, 1200.0]
Pesendide	null	[0.0, 203.77359, 384.90567, 498.11322, 701.88684, 905.6604, 1086.7925, 1200.0]
Rast	null	[0.0, 203.77359, 384.90567, 498.11322, 701.88684, 905.6604, 1086.7925, 1200.0]
Saba	null	[0.0, 181.13208, 294.33963, 407.54718, 701.88684, 792.4529, 996.22644, 1109.434, 1200.0, 1381.1321]
Sedaraban	null	[0.0, 113.20755, 384.90567, 498.11322, 701.88684, 815.09436, 1086.7925, 1200.0]
Segah	null	[0.0, 113.20755, 316.98114, 498.11322, 701.88684, 815.09436, 1018.8679, 1109.434, 1200.0]
Sehnaz	null	[0.0, 113.20755, 384.90567, 498.11322, 701.88684, 815.09436, 1086.7925, 1200.0]
Sevkefza	null	[0.0, 203.77359, 407.54718, 498.11322, 588.67926, 701.88684, 815.09436, 905.6604, 1086.7925, 1200.0]
Sultaniyegah	null	[0.0, 203.77359, 294.33963, 498.11322, 701.88684, 815.09436, 1086.7925, 1200.0]
Suzidil	null	[0.0, 113.20755, 407.54718, 498.11322, 701.88684, 815.09436, 1086.7925, 1200.0]
Suzinak	null	[0.0, 203.77359, 384.90567, 498.11322, 701.88684, 815.09436, 1086.7925, 1200.0]
Tahir	null	[0.0, 181.13208, 294.33963, 498.11322, 701.88684, 883.0189, 996.22644, 1200.0]
Tahirbuselik	null	[0.0, 181.13208, 294.33963, 498.11322, 701.88684, 883.0189, 996.22644, 1200.0]
Ussak	null	[0.0, 181.13208, 294.33963, 498.11322, 701.88684, 792.4529, 996.22644, 1200.0]
Yegah	null	[0.0, 203.77359, 384.90567, 498.11322, 701.88684, 883.0189, 996.22644, 1200.0]
