Bayati	null	[0.0, 159.16533, 294.135, 498.04504, 591.648, 694.24347, 799.89154, 884.35876, 996.0901, 1200.0]
Gulizar	null	[0.0, 159.16533, 188.26237, 294.135, 498.04504, 694.24347, 845.453, 867.79175, 884.35876, 996.0901, 1200.0]
Hicaz	null	[0.0, 97.93652, 143.49794, 378.60223, 498.04504, 799.89154, 845.453, 867.79175, 884.35876, 996.0901, 1200.0]
Huseyni	null	[0.0, 159.16533, 294.135, 498.04504, 694.24347, 845.453, 867.79175, 996.0901, 1200.0]
Huzzam	null	[0.0, 134.96968, 338.8797, 489.51675, 640.7262, 708.6264, 2036.9247, 1040.8347, 1138.7712, 1200.0]
Kurdilihicazkar	null	[0.0, 88.800705, 142.3734, 301.84653, 498.04504, 701.955, 795.55804, 1003.8016, 1200.0]
Nihavend	null	[0.0, 203.91002, 301.84653, 498.04504, 701.955, 795.55804, 1003.8016, 1088.2687, 1200.0]
Rast	null	[0.0, 203.91002, 363.07535, 392.17242, 498.04504, 701.955, 898.1535, 1003.8016, 1071.7018, 1088.2687, 1200.0]
Saba	null	[0.0, 159.16533, 188.26237, 294.135, 427.3726, 694.24347, 799.89154, 996.0901, 1200.0]
Segah	null	[0.0, 105.87262, 309.78262, 505.9811, 696.0964, 807.82764, 1011.7376, 1109.6742, 1200.0]
Tahirbuselik	null	[0.0, 205.3343, 294.135, 498.04504, 694.24347, 845.453, 867.79175, 884.35876, 996.0901, 1200.0]
Ussak	null	[0.0, 143.49794, 159.16533, 294.135, 498.04504, 694.24347, 799.89154, 996.0901, 1200.0]
