Bayati	[0.0, 150.95094, 181.13208, 286.80002, 483.01132, 573.5774, 701.88684, 792.4529, 898.1208, 981.1246, 1200.0]
Gulizar	[0.0, 135.84906, 150.95094, 181.13208, 286.80002, 483.01132, 618.8604, 701.88684, 852.83777, 883.0189, 981.1246, 1200.0]
Hicaz	[0.0, 105.66792, 120.74718, 377.36606, 392.44528, 505.65283, 701.88684, 807.55475, 837.73584, 852.83777, 867.917, 1003.76605, 1200.0]
Huseyni	[0.0, 150.95094, 166.0302, 301.87924, 505.65283, 701.88684, 792.4529, 852.83777, 867.917, 1003.76605, 1200.0]
Huzzam	[0.0, 120.74718, 324.52075, 475.4717, 490.5736, 686.7849, 701.88684, 822.634, 1018.8679, 1109.434, 1200.0]
Kurdilihicazkar	[0.0, 120.74718, 135.84906, 301.87924, 498.11322, 701.88684, 807.55475, 822.634, 1003.76605, 1200.0]
Nihavend	[0.0, 196.23396, 301.87924, 316.98114, 498.11322, 701.88684, 807.55475, 822.634, 1003.76605, 1094.3322, 1200.0]
Rast	[0.0, 211.31322, 377.36606, 498.11322, 701.88684, 913.2, 988.6868, 1079.2528, 1200.0]
Saba	[0.0, 150.95094, 166.0302, 181.13208, 301.87924, 422.64908, 437.7283, 452.8302, 701.88684, 792.4529, 1003.76605, 1200.0]
Segah	[0.0, 120.74718, 324.52075, 505.65283, 611.3208, 701.88684, 822.634, 1018.8679, 1109.434, 1200.0]
Tahirbuselik	[0.0, 211.31322, 301.87924, 505.65283, 701.88684, 792.4529, 822.634, 883.0189, 981.1246, 1200.0]
Ussak	[0.0, 135.84906, 150.95094, 286.80002, 483.01132, 701.88684, 792.4529, 883.0189, 981.1246, 1200.0]
