Bayati	null	[0.0, 150.0, 300.0, 499.99924, 700.0008, 799.9993, 1000.00073, 1200.0]
Hicaz	null	[0.0, 124.99993, 400.00076, 499.99924, 700.0008, 874.9993, 1000.00073, 1200.0]
Huseyni	null	[0.0, 175.00008, 300.0, 499.99924, 700.0008, 799.9993, 850.00073, 1000.00073, 1200.0]
Huzzam	null	[0.0, 124.99993, 325.00076, 475.00076, 724.9993, 825.0]
Kurdilihicazkar	null	[0.0, 100.00008, 300.0, 499.99924, 700.0008, 825.0, 850.00073, 1000.00073, 1099.9993, 1200.0]
Nihavend	null	[0.0, 199.99994, 300.0, 499.99924, 700.0008, 799.9993, 825.0, 1000.00073, 1099.9993, 1200.0]
Rast	null	[0.0, 199.99994, 375.0, 499.99924, 700.0008, 900.0, 1000.00073, 1075.0007, 1099.9993, 1200.0]
Saba	null	[0.0, 150.0, 300.0, 450.0, 700.0008, 799.9993, 1000.00073, 1125.0, 1300.0007, 1399.9993]
Segah	null	[0.0, 124.99993, 325.00076, 525.0, 625.0008, 700.0008, 724.9993, 825.0]
Ussak	null	[0.0, 150.0, 300.0, 499.99924, 700.0008, 799.9993, 1000.00073, 1200.0]
